evaluation,train_loss
0,0.7388849706225733
1,0.7138497494827533
2,0.7247944137293979
3,0.5739195306965448
4,0.6600345420977402
5,0.5739195306965448
6,0.5810562163106531
7,0.578039600283379
8,0.5742078795418866
9,0.5869555055195219
10,0.5850032089093141
11,0.5860037551579622
12,0.5739195306965448
13,0.5814791593345724
14,0.586238695721414
15,0.5804294059690739
16,0.579435849756267
17,0.571752978007915
18,0.5750873734435262
19,0.571752978007915
20,0.61371873209935
21,0.6187559456165773
22,0.5554122375249608
23,0.6049554711324714
24,0.5484569600618442
25,0.5734583450633253
26,0.5885027585528352
27,0.646157555083801
28,0.5681732470737816
29,0.5482625049354073
30,0.553248188059143
31,0.5485738354186849
32,0.5504773779723146
33,0.5478478561884904
34,0.5510430158659765
35,0.5473350672861618
36,0.5494294060830478
37,0.54735569522289
38,0.5459920932137354
39,0.5443315463183438
40,0.5459629646179599
41,0.5444487635739076
42,0.5449825906214305
43,0.5441710713745092
44,0.5450340752340957
45,0.5438803683660699
46,0.5444926600024431
47,0.5435941083923002
48,0.5437518637972885
49,0.5431594909495945
50,0.5440083841100315
51,0.5427839764969551
52,0.5453841257069615
53,0.5434225019597173
54,0.5413702896999543
55,0.5424744570380501
56,0.5431969680115362
57,0.537865846388753
58,0.5369933150011429
59,0.5359046925989474
60,0.534910899040236
61,0.5351816287513026
62,0.5348491220282541
63,0.5322102325917175
64,0.5311694083100637
65,0.5301817856717637
66,0.5290487720908429
67,0.5285014621921782
68,0.527276987839049
69,0.5224537752919491
70,0.5197637594105782
71,0.5200716906178607
72,0.5199638909034335
73,0.5184988750096329
74,0.5188745634830683
75,0.5196488901364151
76,0.522627010528582
77,0.5185732866053988
78,0.5166104595883505
79,0.5142933228984786
80,0.5138766999765993
81,0.5141514325216676
82,0.5140893547229328
83,0.5139323762896485
84,0.5141070082995087
85,0.513659163488543
86,0.5108880645804941
87,0.51028973756666
88,0.5100371513460982
89,0.5082778809707498
90,0.5075394766473532
91,0.5062842109330695
92,0.5060888324827545
93,0.5053054421683703
94,0.5038322059492142
95,0.5029734510850452
96,0.5024829099626359
97,0.5005015649935979
98,0.49901279924504816
99,0.49730147699947885
100,0.4956502370149259
101,0.4971086757322768
102,0.4960904448127646
103,0.4946947167249434
104,0.4980431511891428
105,0.4956154340311764
106,0.4935242400816284
107,0.4935769852960829
108,0.49350690757412247
109,0.4934731790968791
110,0.4935908427218782
111,0.49361264266123017
112,0.49354252226075646
113,0.49335049234273815
114,0.4931606892752751
115,0.4940959710869027
116,0.49331487955032316
117,0.49362892965818717
118,0.49310484014696765
119,0.4912755160161021
120,0.49101916614169744
121,0.4885542942024296
122,0.48670123825919853
123,0.4851832090760735
124,0.48416116807936405
125,0.4826899975634026
126,0.48125207015576027
127,0.4803372167783938
128,0.47918235093583283
129,0.47775782737966405
130,0.4778251160110627
131,0.47788802562682875
132,0.4767562902562242
133,0.4772308261708013
134,0.4769627337708136
135,0.4759538828360287
136,0.47535408036848953
137,0.4750982369251429
138,0.47466028953997913
139,0.47496227238945626
140,0.4746250872401712
141,0.47411243216441035
142,0.4744636959675864
143,0.474343230280468
144,0.4746703296572358
145,0.47455147872244646
146,0.4736096805542606
147,0.4726327907051266
148,0.4723755584111561
149,0.47213966343423286
150,0.4725668474095122
151,0.4730193311250791
152,0.4723359272920779
153,0.47184922759575254
154,0.47115203676244644
155,0.4709657072514322
156,0.4733667113226411
157,0.4714826418652949
158,0.4707505971143294
159,0.4706818874053049
160,0.46955577884508076
161,0.46966530201473444
162,0.46924945603147944
163,0.46937027577996565
164,0.4688918220886052
165,0.46861443990001556
166,0.4681035011852242
167,0.46749604687958807
168,0.4669114019328802
169,0.4659053976190759
170,0.4655363969100026
171,0.46488643563266996
172,0.46543450624094235
173,0.4658023589087854
174,0.4636169264724453
175,0.46244055546427626
176,0.4618730359022709
177,0.46262032382655327
178,0.4614001166607484
179,0.45978162854497623
180,0.45980157334836996
181,0.460101591314516
182,0.45952435124128105
183,0.4595783640991633
184,0.4596334784057561
185,0.4596153256951344
186,0.45990021924596947
187,0.4590984753256767
188,0.45857369538150144
189,0.4583437148987857
190,0.4580883166490535
191,0.45751073862305225
192,0.45760323554295723
193,0.45724123885181506
194,0.45580233451622665
195,0.4548037914720173
196,0.4539118960122229
197,0.45287077682656396
198,0.4514794547018939
199,0.45140651772143525
200,0.4509002332054273
201,0.4487770668183442
202,0.45277966594800245
203,0.4491003394193117
204,0.4487909862796814
205,0.4491822555150863
206,0.4486735622065329
207,0.4483881280443052
208,0.4488510228160009
209,0.4482463931562245
210,0.4478258709575736
211,0.4481600657439263
212,0.44795015016596285
213,0.4483218862615793
214,0.447760690686948
215,0.447887719857846
216,0.44775769531732246
217,0.44694629418499776
218,0.4455499805287071
219,0.4453238279428697
220,0.44520957569039904
221,0.445352082371735
222,0.44520611827798645
223,0.4447380441521873
224,0.44418968564774886
225,0.4447149030621418
226,0.4440197728457363
227,0.44344911964304057
228,0.4449828683463892
229,0.4437386059459531
230,0.44349953125306496
231,0.44336637197009304
232,0.4430794362463464
233,0.44348259393816136
234,0.44318678939948153
235,0.443401567908658
236,0.44324754772347885
237,0.44255383399930565
238,0.44331067055323276
239,0.4426005773725698
240,0.4425045505233176
241,0.44223060040756634
242,0.44208624778543476
243,0.44131734242677245
244,0.44198412190842357
245,0.44105547213719803
246,0.44086871518741927
247,0.44056142773941687
248,0.4403607836039816
249,0.4403511800407112
250,0.44045115989246075
251,0.44039164290199956
252,0.44014406274268436
253,0.4405239198533435
254,0.4401324912880434
255,0.44012083680293296
256,0.43953991228352934
257,0.4401458923621588
258,0.43946949592003737
259,0.43969854513522727
260,0.43943628694828885
261,0.4401242406083615
262,0.43928095923453125
263,0.4392361342161754
264,0.43882899981592066
265,0.4385369104588127
266,0.44035989825163324
267,0.43901461711742484
268,0.4381856486836056
269,0.4379317624436062
270,0.43806155936949687
271,0.43780047496157215
272,0.43794972508220714
273,0.4379747899621873
274,0.43801977950788207
275,0.4381072271381769
276,0.43849523448852085
277,0.43785416247593223
278,0.43771204483704035
279,0.4407267410701874
280,0.4377330795343018
281,0.43775767448546243
282,0.4377933747819071
283,0.4391295804619981
284,0.4378062925597775
285,0.4380791831397794
286,0.43825070890535517
287,0.43756511888424654
288,0.43793438872033114
289,0.4374408854288612
290,0.43843589414284334
291,0.437873728111928
292,0.43944048288130017
293,0.43726931424926885
294,0.43811251830648346
295,0.4375488910725011
296,0.4372653874570849
297,0.4373820346210275
298,0.4372768160777105
299,0.43721569345736955
